Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1454.6	0.10132	0.19755	5.0620	1453.5	1966.4	8.8079	0.96843	1.2652	818.69	-0.83529	59.231	0.10042	vapor
1457.4	0.10132	0.19723	5.0703	1456.2	1970.0	8.8100	0.96866	1.2655	819.34	-0.83568	59.294	0.10054	vapor
1460.2	0.10132	0.19691	5.0786	1459.0	1973.6	8.8121	0.96889	1.2657	819.99	-0.83606	59.357	0.10066	vapor
1463.1	0.10132	0.19658	5.0869	1461.7	1977.2	8.8141	0.96911	1.2659	820.63	-0.83645	59.420	0.10078	vapor
1465.9	0.10132	0.19626	5.0952	1464.5	1980.8	8.8162	0.96934	1.2662	821.28	-0.83683	59.483	0.10091	vapor
1468.7	0.10132	0.19594	5.1035	1467.2	1984.3	8.8183	0.96957	1.2664	821.93	-0.83721	59.546	0.10103	vapor
1471.6	0.10132	0.19563	5.1118	1470.0	1987.9	8.8203	0.96979	1.2666	822.57	-0.83759	59.609	0.10115	vapor
1474.4	0.10132	0.19531	5.1201	1472.7	1991.5	8.8224	0.97002	1.2668	823.22	-0.83797	59.672	0.10127	vapor
1477.2	0.10132	0.19499	5.1284	1475.5	1995.1	8.8244	0.97024	1.2671	823.87	-0.83834	59.735	0.10139	vapor
1480.1	0.10132	0.19468	5.1367	1478.2	1998.7	8.8265	0.97046	1.2673	824.51	-0.83871	59.797	0.10151	vapor
1482.9	0.10132	0.19436	5.1451	1481.0	2002.3	8.8285	0.97069	1.2675	825.15	-0.83908	59.860	0.10164	vapor
1485.8	0.10132	0.19405	5.1534	1483.7	2005.9	8.8306	0.97091	1.2677	825.80	-0.83945	59.923	0.10176	vapor
1488.6	0.10132	0.19374	5.1617	1486.5	2009.5	8.8326	0.97113	1.2679	826.44	-0.83982	59.986	0.10188	vapor
1491.4	0.10132	0.19342	5.1700	1489.3	2013.1	8.8347	0.97135	1.2682	827.08	-0.84018	60.048	0.10200	vapor
1494.3	0.10132	0.19311	5.1783	1492.0	2016.7	8.8367	0.97157	1.2684	827.73	-0.84055	60.111	0.10212	vapor
1497.1	0.10132	0.19280	5.1866	1494.8	2020.3	8.8387	0.97178	1.2686	828.37	-0.84091	60.174	0.10224	vapor
1499.9	0.10132	0.19250	5.1949	1497.5	2023.9	8.8408	0.97200	1.2688	829.01	-0.84127	60.236	0.10236	vapor
1502.8	0.10132	0.19219	5.2032	1500.3	2027.5	8.8428	0.97222	1.2690	829.65	-0.84162	60.299	0.10248	vapor
1505.6	0.10132	0.19188	5.2115	1503.0	2031.1	8.8448	0.97243	1.2692	830.29	-0.84198	60.362	0.10260	vapor
1508.4	0.10132	0.19158	5.2198	1505.8	2034.7	8.8469	0.97265	1.2695	830.93	-0.84233	60.424	0.10272	vapor
1511.3	0.10132	0.19127	5.2281	1508.6	2038.3	8.8489	0.97286	1.2697	831.57	-0.84268	60.487	0.10285	vapor
1514.1	0.10132	0.19097	5.2364	1511.3	2041.9	8.8509	0.97308	1.2699	832.21	-0.84303	60.549	0.10297	vapor
1517.0	0.10132	0.19067	5.2448	1514.1	2045.5	8.8529	0.97329	1.2701	832.85	-0.84338	60.612	0.10309	vapor
1519.8	0.10132	0.19037	5.2531	1516.8	2049.1	8.8549	0.97350	1.2703	833.49	-0.84373	60.674	0.10321	vapor
1522.6	0.10132	0.19006	5.2614	1519.6	2052.7	8.8569	0.97371	1.2705	834.12	-0.84407	60.736	0.10333	vapor
1525.5	0.10132	0.18976	5.2697	1522.4	2056.3	8.8589	0.97393	1.2707	834.76	-0.84441	60.799	0.10345	vapor
1528.3	0.10132	0.18947	5.2780	1525.1	2059.9	8.8609	0.97414	1.2709	835.40	-0.84475	60.861	0.10357	vapor
1531.1	0.10132	0.18917	5.2863	1527.9	2063.5	8.8629	0.97435	1.2712	836.03	-0.84509	60.924	0.10369	vapor
1534.0	0.10132	0.18887	5.2946	1530.7	2067.1	8.8649	0.97455	1.2714	836.67	-0.84543	60.986	0.10381	vapor
1536.8	0.10132	0.18858	5.3029	1533.4	2070.7	8.8669	0.97476	1.2716	837.30	-0.84577	61.048	0.10393	vapor
1539.6	0.10132	0.18828	5.3112	1536.2	2074.3	8.8689	0.97497	1.2718	837.94	-0.84610	61.110	0.10405	vapor
1542.5	0.10132	0.18799	5.3195	1538.9	2078.0	8.8709	0.97518	1.2720	838.57	-0.84643	61.173	0.10417	vapor
1545.3	0.10132	0.18769	5.3278	1541.7	2081.6	8.8729	0.97538	1.2722	839.21	-0.84676	61.235	0.10429	vapor
1548.2	0.10132	0.18740	5.3361	1544.5	2085.2	8.8749	0.97559	1.2724	839.84	-0.84709	61.297	0.10441	vapor
1551.0	0.10132	0.18711	5.3445	1547.2	2088.8	8.8768	0.97579	1.2726	840.47	-0.84742	61.359	0.10453	vapor
1553.8	0.10132	0.18682	5.3528	1550.0	2092.4	8.8788	0.97600	1.2728	841.11	-0.84774	61.421	0.10465	vapor
1556.7	0.10132	0.18653	5.3611	1552.8	2096.0	8.8808	0.97620	1.2730	841.74	-0.84807	61.483	0.10477	vapor
1559.5	0.10132	0.18624	5.3694	1555.6	2099.6	8.8828	0.97640	1.2732	842.37	-0.84839	61.545	0.10489	vapor
1562.3	0.10132	0.18595	5.3777	1558.3	2103.2	8.8847	0.97660	1.2734	843.00	-0.84871	61.607	0.10501	vapor
1565.2	0.10132	0.18567	5.3860	1561.1	2106.8	8.8867	0.97680	1.2736	843.63	-0.84903	61.669	0.10513	vapor
1568.0	0.10132	0.18538	5.3943	1563.9	2110.4	8.8887	0.97700	1.2738	844.26	-0.84934	61.731	0.10525	vapor
1570.8	0.10132	0.18510	5.4026	1566.6	2114.1	8.8906	0.97720	1.2740	844.89	-0.84966	61.793	0.10537	vapor
1573.7	0.10132	0.18481	5.4109	1569.4	2117.7	8.8926	0.97740	1.2742	845.52	-0.84997	61.855	0.10548	vapor
1576.5	0.10132	0.18453	5.4192	1572.2	2121.3	8.8945	0.97760	1.2744	846.15	-0.85028	61.917	0.10560	vapor
1579.4	0.10132	0.18425	5.4275	1575.0	2124.9	8.8965	0.97780	1.2746	846.78	-0.85059	61.979	0.10572	vapor
1582.2	0.10132	0.18396	5.4359	1577.7	2128.5	8.8984	0.97800	1.2748	847.40	-0.85090	62.041	0.10584	vapor
1585.0	0.10132	0.18368	5.4442	1580.5	2132.1	8.9004	0.97819	1.2750	848.03	-0.85121	62.103	0.10596	vapor
1587.9	0.10132	0.18340	5.4525	1583.3	2135.8	8.9023	0.97839	1.2752	848.66	-0.85152	62.164	0.10608	vapor
1590.7	0.10132	0.18312	5.4608	1586.1	2139.4	8.9043	0.97858	1.2754	849.29	-0.85182	62.226	0.10620	vapor
1593.5	0.10132	0.18285	5.4691	1588.8	2143.0	8.9062	0.97878	1.2756	849.91	-0.85212	62.288	0.10632	vapor
1596.4	0.10132	0.18257	5.4774	1591.6	2146.6	8.9082	0.97897	1.2758	850.54	-0.85242	62.350	0.10644	vapor
1599.2	0.10132	0.18229	5.4857	1594.4	2150.2	8.9101	0.97917	1.2760	851.16	-0.85272	62.411	0.10656	vapor
1602.0	0.10132	0.18202	5.4940	1597.2	2153.8	8.9120	0.97936	1.2762	851.79	-0.85302	62.473	0.10667	vapor
1604.9	0.10132	0.18174	5.5023	1599.9	2157.5	8.9140	0.97955	1.2764	852.41	-0.85332	62.534	0.10679	vapor
1607.7	0.10132	0.18147	5.5106	1602.7	2161.1	8.9159	0.97974	1.2766	853.03	-0.85361	62.596	0.10691	vapor
1610.6	0.10132	0.18119	5.5189	1605.5	2164.7	8.9178	0.97993	1.2767	853.66	-0.85391	62.658	0.10703	vapor
1613.4	0.10132	0.18092	5.5272	1608.3	2168.3	8.9197	0.98012	1.2769	854.28	-0.85420	62.719	0.10715	vapor
1616.2	0.10132	0.18065	5.5356	1611.1	2171.9	8.9216	0.98031	1.2771	854.90	-0.85449	62.781	0.10727	vapor
1619.1	0.10132	0.18038	5.5439	1613.8	2175.6	8.9236	0.98050	1.2773	855.53	-0.85478	62.842	0.10738	vapor
1621.9	0.10132	0.18011	5.5522	1616.6	2179.2	8.9255	0.98069	1.2775	856.15	-0.85507	62.904	0.10750	vapor
1624.7	0.10132	0.17984	5.5605	1619.4	2182.8	8.9274	0.98088	1.2777	856.77	-0.85535	62.965	0.10762	vapor
1627.6	0.10132	0.17957	5.5688	1622.2	2186.4	8.9293	0.98106	1.2779	857.39	-0.85564	63.027	0.10774	vapor
1630.4	0.10132	0.17930	5.5771	1625.0	2190.1	8.9312	0.98125	1.2781	858.01	-0.85592	63.088	0.10786	vapor
1633.2	0.10132	0.17904	5.5854	1627.8	2193.7	8.9331	0.98144	1.2782	858.63	-0.85620	63.149	0.10798	vapor
1636.1	0.10132	0.17877	5.5937	1630.5	2197.3	8.9350	0.98162	1.2784	859.25	-0.85648	63.211	0.10809	vapor
1638.9	0.10132	0.17851	5.6020	1633.3	2200.9	8.9369	0.98181	1.2786	859.87	-0.85676	63.272	0.10821	vapor
1641.8	0.10132	0.17824	5.6103	1636.1	2204.6	8.9388	0.98199	1.2788	860.49	-0.85704	63.333	0.10833	vapor
1644.6	0.10132	0.17798	5.6186	1638.9	2208.2	8.9407	0.98217	1.2790	861.10	-0.85731	63.395	0.10845	vapor
1647.4	0.10132	0.17772	5.6270	1641.7	2211.8	8.9426	0.98236	1.2792	861.72	-0.85759	63.456	0.10856	vapor
1650.3	0.10132	0.17745	5.6353	1644.5	2215.5	8.9445	0.98254	1.2793	862.34	-0.85786	63.517	0.10868	vapor
1653.1	0.10132	0.17719	5.6436	1647.2	2219.1	8.9464	0.98272	1.2795	862.96	-0.85813	63.578	0.10880	vapor
1655.9	0.10132	0.17693	5.6519	1650.0	2222.7	8.9482	0.98290	1.2797	863.57	-0.85840	63.640	0.10892	vapor
1658.8	0.10132	0.17667	5.6602	1652.8	2226.3	8.9501	0.98308	1.2799	864.19	-0.85867	63.701	0.10903	vapor
1661.6	0.10132	0.17641	5.6685	1655.6	2230.0	8.9520	0.98326	1.2801	864.80	-0.85894	63.762	0.10915	vapor
1664.4	0.10132	0.17616	5.6768	1658.4	2233.6	8.9539	0.98344	1.2802	865.42	-0.85921	63.823	0.10927	vapor
1667.3	0.10132	0.17590	5.6851	1661.2	2237.2	8.9557	0.98362	1.2804	866.03	-0.85947	63.884	0.10939	vapor
1670.1	0.10132	0.17564	5.6934	1664.0	2240.9	8.9576	0.98380	1.2806	866.65	-0.85974	63.945	0.10950	vapor
1673.0	0.10132	0.17539	5.7017	1666.8	2244.5	8.9595	0.98398	1.2808	867.26	-0.86000	64.006	0.10962	vapor
1675.8	0.10132	0.17513	5.7100	1669.6	2248.1	8.9613	0.98415	1.2810	867.88	-0.86026	64.067	0.10974	vapor
1678.6	0.10132	0.17488	5.7183	1672.4	2251.8	8.9632	0.98433	1.2811	868.49	-0.86052	64.128	0.10986	vapor
1681.5	0.10132	0.17462	5.7267	1675.1	2255.4	8.9651	0.98451	1.2813	869.10	-0.86078	64.189	0.10997	vapor
1684.3	0.10132	0.17437	5.7350	1677.9	2259.0	8.9669	0.98468	1.2815	869.71	-0.86104	64.250	0.11009	vapor
1687.1	0.10132	0.17412	5.7433	1680.7	2262.7	8.9688	0.98486	1.2817	870.33	-0.86129	64.311	0.11021	vapor
1690.0	0.10132	0.17387	5.7516	1683.5	2266.3	8.9706	0.98503	1.2818	870.94	-0.86155	64.372	0.11032	vapor
1692.8	0.10132	0.17361	5.7599	1686.3	2269.9	8.9725	0.98520	1.2820	871.55	-0.86180	64.433	0.11044	vapor
1695.6	0.10132	0.17336	5.7682	1689.1	2273.6	8.9743	0.98538	1.2822	872.16	-0.86205	64.494	0.11056	vapor
1698.5	0.10132	0.17312	5.7765	1691.9	2277.2	8.9762	0.98555	1.2824	872.77	-0.86230	64.555	0.11067	vapor
1701.3	0.10132	0.17287	5.7848	1694.7	2280.9	8.9780	0.98572	1.2825	873.38	-0.86255	64.615	0.11079	vapor
1704.2	0.10132	0.17262	5.7931	1697.5	2284.5	8.9799	0.98589	1.2827	873.99	-0.86280	64.676	0.11091	vapor
1707.0	0.10132	0.17237	5.8014	1700.3	2288.1	8.9817	0.98606	1.2829	874.60	-0.86305	64.737	0.11102	vapor
1709.8	0.10132	0.17212	5.8097	1703.1	2291.8	8.9835	0.98623	1.2830	875.20	-0.86329	64.798	0.11114	vapor
1712.7	0.10132	0.17188	5.8180	1705.9	2295.4	8.9854	0.98640	1.2832	875.81	-0.86354	64.859	0.11126	vapor
1715.5	0.10132	0.17163	5.8264	1708.7	2299.0	8.9872	0.98657	1.2834	876.42	-0.86378	64.919	0.11137	vapor
1718.3	0.10132	0.17139	5.8347	1711.5	2302.7	8.9890	0.98674	1.2835	877.03	-0.86402	64.980	0.11149	vapor
1721.2	0.10132	0.17115	5.8430	1714.3	2306.3	8.9909	0.98691	1.2837	877.63	-0.86426	65.041	0.11161	vapor
1724.0	0.10132	0.17090	5.8513	1717.1	2310.0	8.9927	0.98708	1.2839	878.24	-0.86450	65.101	0.11172	vapor
