Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
495.85	0.10132	0.44376	2.2535	583.62	811.96	7.8415	0.81784	1.1148	558.00	-0.34553	35.001	0.053475	vapor
498.68	0.10132	0.44213	2.2618	585.95	815.12	7.8456	0.81853	1.1155	558.96	-0.34989	35.087	0.053633	vapor
501.52	0.10132	0.44051	2.2701	588.27	818.29	7.8497	0.81922	1.1162	559.93	-0.35421	35.173	0.053791	vapor
504.35	0.10132	0.43890	2.2784	590.59	821.45	7.8538	0.81991	1.1168	560.89	-0.35849	35.258	0.053949	vapor
507.19	0.10132	0.43731	2.2867	592.92	824.62	7.8578	0.82060	1.1175	561.85	-0.36272	35.344	0.054107	vapor
510.03	0.10132	0.43572	2.2950	595.25	827.79	7.8619	0.82128	1.1182	562.80	-0.36691	35.429	0.054264	vapor
512.86	0.10132	0.43415	2.3033	597.58	830.96	7.8659	0.82197	1.1189	563.76	-0.37106	35.514	0.054422	vapor
515.70	0.10132	0.43259	2.3116	599.91	834.14	7.8700	0.82266	1.1196	564.71	-0.37516	35.599	0.054579	vapor
518.54	0.10132	0.43104	2.3200	602.25	837.32	7.8740	0.82334	1.1203	565.66	-0.37923	35.684	0.054737	vapor
521.37	0.10132	0.42950	2.3283	604.58	840.49	7.8780	0.82403	1.1210	566.61	-0.38325	35.769	0.054894	vapor
524.21	0.10132	0.42798	2.3366	606.92	843.67	7.8820	0.82471	1.1216	567.56	-0.38724	35.853	0.055051	vapor
527.05	0.10132	0.42646	2.3449	609.26	846.86	7.8860	0.82540	1.1223	568.50	-0.39118	35.938	0.055208	vapor
529.88	0.10132	0.42495	2.3532	611.60	850.04	7.8899	0.82608	1.1230	569.45	-0.39509	36.022	0.055365	vapor
532.72	0.10132	0.42346	2.3615	613.95	853.23	7.8939	0.82677	1.1237	570.39	-0.39895	36.106	0.055522	vapor
535.55	0.10132	0.42197	2.3698	616.29	856.42	7.8979	0.82745	1.1244	571.33	-0.40278	36.190	0.055679	vapor
538.39	0.10132	0.42050	2.3781	618.64	859.61	7.9018	0.82813	1.1251	572.27	-0.40657	36.274	0.055835	vapor
541.23	0.10132	0.41903	2.3864	620.99	862.80	7.9057	0.82881	1.1257	573.20	-0.41033	36.358	0.055992	vapor
544.06	0.10132	0.41758	2.3948	623.34	865.99	7.9096	0.82949	1.1264	574.14	-0.41404	36.442	0.056148	vapor
546.90	0.10132	0.41614	2.4031	625.70	869.19	7.9135	0.83017	1.1271	575.07	-0.41772	36.525	0.056305	vapor
549.74	0.10132	0.41470	2.4114	628.05	872.39	7.9174	0.83085	1.1278	576.00	-0.42137	36.609	0.056461	vapor
552.57	0.10132	0.41328	2.4197	630.41	875.59	7.9213	0.83152	1.1284	576.93	-0.42498	36.692	0.056617	vapor
555.41	0.10132	0.41186	2.4280	632.77	878.79	7.9252	0.83220	1.1291	577.86	-0.42855	36.775	0.056773	vapor
558.25	0.10132	0.41046	2.4363	635.13	881.99	7.9290	0.83287	1.1298	578.79	-0.43209	36.858	0.056929	vapor
561.08	0.10132	0.40906	2.4446	637.50	885.20	7.9329	0.83355	1.1305	579.71	-0.43560	36.941	0.057085	vapor
563.92	0.10132	0.40768	2.4529	639.86	888.40	7.9367	0.83422	1.1311	580.63	-0.43907	37.024	0.057240	vapor
566.76	0.10132	0.40630	2.4612	642.23	891.61	7.9406	0.83489	1.1318	581.55	-0.44251	37.107	0.057396	vapor
569.59	0.10132	0.40493	2.4695	644.60	894.82	7.9444	0.83556	1.1325	582.47	-0.44592	37.189	0.057551	vapor
572.43	0.10132	0.40358	2.4779	646.97	898.04	7.9482	0.83623	1.1331	583.39	-0.44929	37.272	0.057707	vapor
575.26	0.10132	0.40223	2.4862	649.34	901.25	7.9520	0.83690	1.1338	584.31	-0.45263	37.354	0.057862	vapor
578.10	0.10132	0.40089	2.4945	651.72	904.47	7.9558	0.83757	1.1345	585.22	-0.45594	37.436	0.058017	vapor
580.94	0.10132	0.39956	2.5028	654.09	907.69	7.9595	0.83824	1.1351	586.13	-0.45922	37.518	0.058172	vapor
583.77	0.10132	0.39823	2.5111	656.47	910.91	7.9633	0.83890	1.1358	587.04	-0.46247	37.600	0.058327	vapor
