Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
135.71	250.00	942.51	0.0010610	560.81	587.33	1.6706	3.5637	4.2084	1553.8	-0.016158	209.52	0.69906	liquid
137.34	250.00	941.16	0.0010625	567.62	594.19	1.6874	3.5563	4.2112	1551.3	-0.016054	206.90	0.69907	liquid
138.97	250.00	939.80	0.0010641	574.44	601.05	1.7040	3.5491	4.2140	1548.6	-0.015950	204.35	0.69905	liquid
140.59	250.00	938.43	0.0010656	581.27	607.91	1.7206	3.5418	4.2169	1545.9	-0.015843	201.85	0.69902	liquid
142.22	250.00	937.04	0.0010672	588.10	614.78	1.7372	3.5346	4.2199	1543.1	-0.015736	199.42	0.69896	liquid
143.85	250.00	935.65	0.0010688	594.93	621.65	1.7537	3.5274	4.2229	1540.3	-0.015628	197.04	0.69888	liquid
145.48	250.00	934.25	0.0010704	601.77	628.53	1.7702	3.5203	4.2260	1537.5	-0.015518	194.72	0.69878	liquid
147.11	250.00	932.84	0.0010720	608.61	635.41	1.7866	3.5132	4.2292	1534.5	-0.015407	192.46	0.69866	liquid
148.73	250.00	931.41	0.0010736	615.46	642.30	1.8030	3.5062	4.2324	1531.6	-0.015294	190.24	0.69852	liquid
150.36	250.00	929.98	0.0010753	622.31	649.19	1.8193	3.4991	4.2357	1528.5	-0.015180	188.08	0.69835	liquid
151.99	250.00	928.54	0.0010770	629.17	656.09	1.8355	3.4921	4.2391	1525.4	-0.015065	185.97	0.69817	liquid
153.62	250.00	927.09	0.0010786	636.03	663.00	1.8517	3.4852	4.2426	1522.3	-0.014948	183.90	0.69796	liquid
155.25	250.00	925.62	0.0010804	642.90	669.91	1.8679	3.4783	4.2461	1519.1	-0.014830	181.88	0.69773	liquid
156.87	250.00	924.15	0.0010821	649.77	676.82	1.8840	3.4714	4.2497	1515.8	-0.014710	179.90	0.69748	liquid
158.50	250.00	922.67	0.0010838	656.65	683.74	1.9001	3.4646	4.2534	1512.5	-0.014589	177.97	0.69721	liquid
160.13	250.00	921.18	0.0010856	663.53	690.67	1.9161	3.4578	4.2572	1509.2	-0.014466	176.08	0.69692	liquid
161.76	250.00	919.67	0.0010873	670.42	697.61	1.9321	3.4510	4.2610	1505.8	-0.014342	174.22	0.69661	liquid
163.39	250.00	918.16	0.0010891	677.32	704.55	1.9480	3.4443	4.2649	1502.3	-0.014216	172.41	0.69628	liquid
165.02	250.00	916.64	0.0010909	684.22	711.49	1.9639	3.4376	4.2689	1498.8	-0.014088	170.64	0.69592	liquid
166.64	250.00	915.10	0.0010928	691.13	718.45	1.9797	3.4310	4.2730	1495.3	-0.013959	168.90	0.69555	liquid
168.27	250.00	913.56	0.0010946	698.04	725.41	1.9955	3.4244	4.2772	1491.7	-0.013827	167.20	0.69515	liquid
169.90	250.00	912.01	0.0010965	704.96	732.37	2.0113	3.4178	4.2815	1488.0	-0.013694	165.54	0.69473	liquid
171.53	250.00	910.44	0.0010984	711.89	739.35	2.0270	3.4113	4.2858	1484.3	-0.013560	163.91	0.69429	liquid
173.16	250.00	908.87	0.0011003	718.82	746.33	2.0427	3.4048	4.2903	1480.6	-0.013423	162.31	0.69383	liquid
174.78	250.00	907.28	0.0011022	725.76	753.32	2.0583	3.3984	4.2948	1476.8	-0.013284	160.75	0.69335	liquid
176.41	250.00	905.69	0.0011041	732.71	760.31	2.0739	3.3920	4.2994	1472.9	-0.013143	159.21	0.69285	liquid
