Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
25.000	139.00	1003.2	0.00099683	103.77	117.63	0.36355	4.0928	4.1433	1519.8	-0.022105	887.32	0.61347	liquid
25.000	140.00	1003.2	0.00099678	103.76	117.72	0.36352	4.0925	4.1430	1520.0	-0.022105	887.31	0.61351	liquid
25.000	141.00	1003.3	0.00099674	103.76	117.81	0.36349	4.0922	4.1428	1520.1	-0.022105	887.29	0.61356	liquid
25.000	142.00	1003.3	0.00099670	103.75	117.90	0.36346	4.0919	4.1425	1520.3	-0.022104	887.27	0.61360	liquid
25.000	143.00	1003.4	0.00099665	103.74	117.99	0.36344	4.0916	4.1422	1520.5	-0.022104	887.26	0.61365	liquid
25.000	144.00	1003.4	0.00099661	103.73	118.09	0.36341	4.0913	4.1420	1520.6	-0.022104	887.24	0.61369	liquid
25.000	145.00	1003.4	0.00099657	103.73	118.18	0.36338	4.0909	4.1417	1520.8	-0.022103	887.22	0.61374	liquid
25.000	146.00	1003.5	0.00099652	103.72	118.27	0.36335	4.0906	4.1414	1521.0	-0.022103	887.21	0.61379	liquid
25.000	147.00	1003.5	0.00099648	103.71	118.36	0.36333	4.0903	4.1412	1521.1	-0.022102	887.19	0.61383	liquid
25.000	148.00	1003.6	0.00099644	103.70	118.45	0.36330	4.0900	4.1409	1521.3	-0.022102	887.18	0.61388	liquid
25.000	149.00	1003.6	0.00099639	103.70	118.54	0.36327	4.0897	4.1407	1521.5	-0.022102	887.16	0.61392	liquid
25.000	150.00	1003.7	0.00099635	103.69	118.63	0.36325	4.0894	4.1404	1521.6	-0.022101	887.14	0.61397	liquid
25.000	151.00	1003.7	0.00099631	103.68	118.73	0.36322	4.0891	4.1401	1521.8	-0.022101	887.13	0.61401	liquid
25.000	152.00	1003.8	0.00099626	103.67	118.82	0.36319	4.0888	4.1399	1522.0	-0.022101	887.11	0.61406	liquid
25.000	153.00	1003.8	0.00099622	103.67	118.91	0.36316	4.0885	4.1396	1522.1	-0.022100	887.10	0.61411	liquid
25.000	154.00	1003.8	0.00099618	103.66	119.00	0.36314	4.0882	4.1394	1522.3	-0.022100	887.08	0.61415	liquid
