Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
216.67	1.0000	0.44435	2.2505	2683.3	2908.4	7.9040	1.5043	1.9785	542.83	2.0774	16.854	0.034869	vapor
217.71	1.0000	0.44339	2.2554	2684.9	2910.5	7.9082	1.5046	1.9788	543.40	2.0615	16.896	0.034970	vapor
218.75	1.0000	0.44243	2.2602	2686.5	2912.5	7.9124	1.5050	1.9790	543.96	2.0458	16.939	0.035071	vapor
219.79	1.0000	0.44148	2.2651	2688.1	2914.6	7.9166	1.5054	1.9793	544.52	2.0303	16.981	0.035172	vapor
220.83	1.0000	0.44053	2.2700	2689.6	2916.6	7.9208	1.5058	1.9796	545.09	2.0149	17.024	0.035273	vapor
221.88	1.0000	0.43959	2.2749	2691.2	2918.7	7.9249	1.5062	1.9798	545.65	1.9998	17.066	0.035374	vapor
222.92	1.0000	0.43865	2.2797	2692.8	2920.8	7.9291	1.5066	1.9801	546.21	1.9848	17.109	0.035476	vapor
223.96	1.0000	0.43771	2.2846	2694.4	2922.8	7.9332	1.5070	1.9804	546.77	1.9700	17.151	0.035578	vapor
225.00	1.0000	0.43678	2.2895	2695.9	2924.9	7.9374	1.5074	1.9807	547.32	1.9554	17.194	0.035679	vapor
226.04	1.0000	0.43586	2.2943	2697.5	2927.0	7.9415	1.5079	1.9810	547.88	1.9409	17.236	0.035781	vapor
227.08	1.0000	0.43493	2.2992	2699.1	2929.0	7.9457	1.5083	1.9813	548.44	1.9266	17.279	0.035884	vapor
228.13	1.0000	0.43402	2.3041	2700.7	2931.1	7.9498	1.5087	1.9816	548.99	1.9124	17.322	0.035986	vapor
229.17	1.0000	0.43310	2.3089	2702.3	2933.1	7.9539	1.5091	1.9820	549.55	1.8985	17.364	0.036089	vapor
230.21	1.0000	0.43219	2.3138	2703.8	2935.2	7.9580	1.5096	1.9823	550.10	1.8846	17.407	0.036191	vapor
231.25	1.0000	0.43128	2.3187	2705.4	2937.3	7.9621	1.5100	1.9826	550.66	1.8710	17.450	0.036294	vapor
232.29	1.0000	0.43038	2.3235	2707.0	2939.3	7.9662	1.5104	1.9830	551.21	1.8574	17.492	0.036397	vapor
233.33	1.0000	0.42948	2.3284	2708.6	2941.4	7.9703	1.5109	1.9833	551.76	1.8441	17.535	0.036501	vapor
234.38	1.0000	0.42859	2.3333	2710.2	2943.5	7.9743	1.5113	1.9836	552.31	1.8308	17.578	0.036604	vapor
