Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
273.16	1.0000	999.84	0.0010002	3.3200e-05	0.0018350	0.00012137	75.970	76.014	1402.4	-0.024141	1790.9	0.56109	liquid
274.83	1.0000	999.93	0.0010001	0.12662	0.12842	0.46213	75.902	75.916	1410.7	-0.023981	1691.7	0.56426	liquid
276.49	1.0000	999.97	0.0010000	0.25305	0.25486	0.92079	75.829	75.830	1418.6	-0.023825	1600.9	0.56742	liquid
278.16	1.0000	999.97	0.0010000	0.37935	0.38116	1.3762	75.752	75.755	1426.2	-0.023675	1517.7	0.57059	liquid
279.83	1.0000	999.92	0.0010001	0.50553	0.50734	1.8285	75.670	75.688	1433.5	-0.023529	1441.2	0.57376	liquid
281.49	1.0000	999.83	0.0010002	0.63161	0.63341	2.2777	75.584	75.629	1440.6	-0.023387	1370.7	0.57692	liquid
283.16	1.0000	999.70	0.0010003	0.75759	0.75939	2.7239	75.494	75.577	1447.3	-0.023250	1305.6	0.58006	liquid
284.82	1.0000	999.54	0.0010005	0.88349	0.88530	3.1673	75.400	75.531	1453.8	-0.023116	1245.3	0.58319	liquid
286.49	1.0000	999.34	0.0010007	1.0093	1.0111	3.6078	75.303	75.491	1460.0	-0.022985	1189.3	0.58631	liquid
288.16	1.0000	999.10	0.0010009	1.1351	1.1369	4.0455	75.203	75.456	1466.0	-0.022857	1137.3	0.58939	liquid
289.82	1.0000	998.83	0.0010012	1.2608	1.2626	4.4805	75.099	75.426	1471.7	-0.022733	1088.9	0.59245	liquid
291.49	1.0000	998.53	0.0010015	1.3865	1.3883	4.9129	74.993	75.399	1477.1	-0.022611	1043.7	0.59548	liquid
293.16	1.0000	998.21	0.0010018	1.5121	1.5139	5.3426	74.883	75.377	1482.4	-0.022491	1001.4	0.59847	liquid
294.82	1.0000	997.85	0.0010022	1.6377	1.6395	5.7698	74.771	75.357	1487.4	-0.022374	961.88	0.60143	liquid
296.49	1.0000	997.46	0.0010025	1.7633	1.7651	6.1945	74.656	75.341	1492.2	-0.022259	924.79	0.60434	liquid
298.16	1.0000	997.05	0.0010030	1.8888	1.8906	6.6167	74.539	75.328	1496.7	-0.022146	889.96	0.60720	liquid
299.82	1.0000	996.60	0.0010034	2.0143	2.0161	7.0365	74.419	75.316	1501.1	-0.022035	857.20	0.61002	liquid
301.49	1.0000	996.14	0.0010039	2.1398	2.1416	7.4539	74.297	75.307	1505.2	-0.021926	826.35	0.61279	liquid
303.16	1.0000	995.65	0.0010044	2.2653	2.2671	7.8690	74.173	75.301	1509.2	-0.021819	797.26	0.61551	liquid
304.82	1.0000	995.13	0.0010049	2.3908	2.3926	8.2818	74.046	75.296	1512.9	-0.021713	769.79	0.61817	liquid
306.49	1.0000	994.59	0.0010054	2.5162	2.5180	8.6923	73.917	75.292	1516.5	-0.021608	743.82	0.62078	liquid
308.15	1.0000	994.03	0.0010060	2.6417	2.6435	9.1005	73.787	75.291	1519.9	-0.021505	719.25	0.62333	liquid
309.82	1.0000	993.45	0.0010066	2.7672	2.7690	9.5066	73.654	75.290	1523.0	-0.021404	695.97	0.62582	liquid
311.49	1.0000	992.84	0.0010072	2.8926	2.8944	9.9105	73.519	75.291	1526.1	-0.021303	673.89	0.62826	liquid
313.15	1.0000	992.21	0.0010078	3.0181	3.0199	10.312	73.383	75.293	1528.9	-0.021203	652.93	0.63063	liquid
314.82	1.0000	991.57	0.0010085	3.1436	3.1454	10.712	73.245	75.297	1531.6	-0.021105	633.02	0.63295	liquid
316.49	1.0000	990.90	0.0010092	3.2690	3.2709	11.109	73.106	75.301	1534.1	-0.021007	614.07	0.63520	liquid
318.15	1.0000	990.21	0.0010099	3.3945	3.3963	11.505	72.965	75.306	1536.4	-0.020910	596.04	0.63739	liquid
319.82	1.0000	989.50	0.0010106	3.5200	3.5218	11.898	72.822	75.313	1538.6	-0.020814	578.85	0.63952	liquid
321.49	1.0000	988.78	0.0010113	3.6455	3.6473	12.290	72.678	75.320	1540.7	-0.020719	562.47	0.64159	liquid
323.15	1.0000	988.03	0.0010121	3.7710	3.7729	12.679	72.533	75.328	1542.6	-0.020625	546.83	0.64360	liquid
324.82	1.0000	987.27	0.0010129	3.8966	3.8984	13.067	72.386	75.337	1544.3	-0.020531	531.89	0.64554	liquid
326.48	1.0000	986.49	0.0010137	4.0221	4.0239	13.452	72.238	75.347	1545.9	-0.020437	517.62	0.64743	liquid
328.15	1.0000	985.69	0.0010145	4.1477	4.1495	13.836	72.090	75.357	1547.4	-0.020344	503.97	0.64926	liquid
329.82	1.0000	984.88	0.0010154	4.2733	4.2751	14.217	71.940	75.368	1548.7	-0.020251	490.90	0.65102	liquid
331.48	1.0000	984.04	0.0010162	4.3989	4.4007	14.597	71.789	75.380	1549.9	-0.020159	478.39	0.65273	liquid
333.15	1.0000	983.20	0.0010171	4.5245	4.5263	14.975	71.637	75.393	1551.0	-0.020067	466.39	0.65439	liquid
334.82	1.0000	982.33	0.0010180	4.6501	4.6520	15.351	71.485	75.407	1551.9	-0.019975	454.89	0.65598	liquid
336.48	1.0000	981.45	0.0010189	4.7758	4.7776	15.726	71.331	75.421	1552.7	-0.019883	443.86	0.65752	liquid
338.15	1.0000	980.55	0.0010198	4.9015	4.9033	16.099	71.177	75.436	1553.4	-0.019792	433.26	0.65900	liquid
339.82	1.0000	979.64	0.0010208	5.0272	5.0291	16.469	71.023	75.451	1554.0	-0.019700	423.09	0.66043	liquid
341.48	1.0000	978.71	0.0010218	5.1530	5.1548	16.839	70.868	75.468	1554.4	-0.019609	413.30	0.66180	liquid
343.15	1.0000	977.76	0.0010227	5.2787	5.2806	17.206	70.712	75.485	1554.7	-0.019518	403.90	0.66313	liquid
344.82	1.0000	976.81	0.0010237	5.4045	5.4064	17.572	70.556	75.503	1555.0	-0.019426	394.85	0.66440	liquid
346.48	1.0000	975.83	0.0010248	5.5304	5.5322	17.936	70.399	75.522	1555.1	-0.019335	386.14	0.66562	liquid
348.15	1.0000	974.84	0.0010258	5.6562	5.6581	18.298	70.242	75.542	1555.1	-0.019243	377.75	0.66679	liquid
349.81	1.0000	973.84	0.0010269	5.7821	5.7840	18.659	70.085	75.562	1555.0	-0.019151	369.67	0.66791	liquid
351.48	1.0000	972.82	0.0010279	5.9081	5.9099	19.018	69.928	75.583	1554.7	-0.019059	361.87	0.66898	liquid
353.15	1.0000	971.79	0.0010290	6.0340	6.0359	19.376	69.771	75.606	1554.4	-0.018966	354.36	0.67001	liquid
354.81	1.0000	970.75	0.0010301	6.1600	6.1619	19.732	69.613	75.629	1554.0	-0.018873	347.11	0.67100	liquid
356.48	1.0000	969.69	0.0010313	6.2861	6.2879	20.086	69.455	75.653	1553.5	-0.018780	340.11	0.67193	liquid
358.15	1.0000	968.61	0.0010324	6.4122	6.4140	20.439	69.298	75.678	1552.9	-0.018687	333.36	0.67283	liquid
359.81	1.0000	967.53	0.0010336	6.5383	6.5402	20.790	69.140	75.703	1552.2	-0.018593	326.83	0.67368	liquid
361.48	1.0000	966.43	0.0010347	6.6645	6.6663	21.140	68.982	75.730	1551.4	-0.018498	320.52	0.67449	liquid
363.15	1.0000	965.31	0.0010359	6.7907	6.7925	21.488	68.825	75.758	1550.5	-0.018403	314.42	0.67527	liquid
364.81	1.0000	964.18	0.0010371	6.9169	6.9188	21.835	68.668	75.787	1549.5	-0.018307	308.53	0.67600	liquid
366.48	1.0000	963.04	0.0010384	7.0433	7.0451	22.181	68.511	75.816	1548.4	-0.018211	302.82	0.67669	liquid
368.14	1.0000	961.89	0.0010396	7.1696	7.1715	22.525	68.354	75.847	1547.2	-0.018114	297.30	0.67734	liquid
369.81	1.0000	960.72	0.0010409	7.2960	7.2979	22.867	68.197	75.879	1545.9	-0.018017	291.95	0.67796	liquid
371.48	1.0000	959.54	0.0010422	7.4225	7.4244	23.209	68.041	75.912	1544.6	-0.017918	286.78	0.67854	liquid
372.76	1.0000	958.63	0.0010432	7.5196	7.5214	23.470	67.921	75.938	1543.5	-0.017843	282.91	0.67897	liquid
372.76	1.0000	0.59034	1.6939	45.138	48.190	132.57	28.010	37.444	471.99	6.7038	12.256	0.025053	vapor
373.14	1.0000	0.58968	1.6958	45.149	48.204	132.61	27.987	37.411	472.27	6.6644	12.270	0.025078	vapor
374.81	1.0000	0.58685	1.7040	45.197	48.267	132.78	27.895	37.280	473.46	6.5012	12.332	0.025190	vapor
376.48	1.0000	0.58405	1.7122	45.244	48.329	132.94	27.813	37.162	474.63	6.3469	12.394	0.025303	vapor
378.14	1.0000	0.58128	1.7203	45.291	48.391	133.11	27.739	37.054	475.79	6.2003	12.457	0.025418	vapor
379.81	1.0000	0.57855	1.7285	45.338	48.452	133.27	27.671	36.954	476.95	6.0605	12.519	0.025533	vapor
381.48	1.0000	0.57584	1.7366	45.385	48.514	133.43	27.610	36.863	478.09	5.9268	12.581	0.025649	vapor
383.14	1.0000	0.57316	1.7447	45.432	48.575	133.59	27.553	36.778	479.22	5.7985	12.644	0.025767	vapor
384.81	1.0000	0.57052	1.7528	45.479	48.636	133.75	27.501	36.699	480.34	5.6752	12.707	0.025885	vapor
386.48	1.0000	0.56790	1.7609	45.525	48.697	133.91	27.454	36.626	481.46	5.5564	12.770	0.026004	vapor
388.14	1.0000	0.56530	1.7690	45.571	48.758	134.07	27.409	36.557	482.57	5.4418	12.833	0.026125	vapor
389.81	1.0000	0.56274	1.7770	45.618	48.819	134.22	27.368	36.492	483.68	5.3311	12.896	0.026246	vapor
391.47	1.0000	0.56020	1.7851	45.664	48.880	134.38	27.329	36.431	484.78	5.2239	12.959	0.026368	vapor
393.14	1.0000	0.55769	1.7931	45.710	48.941	134.53	27.294	36.374	485.87	5.1202	13.023	0.026492	vapor
394.81	1.0000	0.55520	1.8012	45.756	49.001	134.69	27.260	36.320	486.95	5.0197	13.086	0.026616	vapor
396.47	1.0000	0.55274	1.8092	45.802	49.062	134.84	27.229	36.269	488.04	4.9223	13.150	0.026741	vapor
398.14	1.0000	0.55030	1.8172	45.848	49.122	134.99	27.200	36.221	489.11	4.8277	13.214	0.026867	vapor
399.81	1.0000	0.54788	1.8252	45.894	49.182	135.14	27.173	36.175	490.18	4.7359	13.277	0.026994	vapor
401.47	1.0000	0.54549	1.8332	45.940	49.243	135.29	27.148	36.133	491.25	4.6468	13.341	0.027121	vapor
403.14	1.0000	0.54313	1.8412	45.986	49.303	135.44	27.124	36.092	492.31	4.5602	13.405	0.027250	vapor
404.81	1.0000	0.54078	1.8492	46.032	49.363	135.59	27.103	36.054	493.37	4.4760	13.470	0.027379	vapor
406.47	1.0000	0.53846	1.8572	46.077	49.423	135.74	27.082	36.018	494.42	4.3941	13.534	0.027510	vapor
408.14	1.0000	0.53616	1.8651	46.123	49.483	135.89	27.064	35.984	495.47	4.3145	13.598	0.027641	vapor
409.80	1.0000	0.53388	1.8731	46.168	49.543	136.03	27.046	35.952	496.51	4.2371	13.663	0.027772	vapor
411.47	1.0000	0.53162	1.8810	46.214	49.603	136.18	27.030	35.921	497.55	4.1617	13.727	0.027905	vapor
413.14	1.0000	0.52938	1.8890	46.260	49.663	136.32	27.015	35.893	498.59	4.0883	13.792	0.028038	vapor
414.80	1.0000	0.52716	1.8969	46.305	49.722	136.47	27.001	35.866	499.62	4.0169	13.857	0.028173	vapor
416.47	1.0000	0.52497	1.9049	46.350	49.782	136.61	26.989	35.841	500.65	3.9474	13.922	0.028308	vapor
418.14	1.0000	0.52279	1.9128	46.396	49.842	136.76	26.978	35.817	501.67	3.8796	13.987	0.028443	vapor
419.80	1.0000	0.52063	1.9207	46.441	49.902	136.90	26.967	35.794	502.69	3.8136	14.052	0.028580	vapor
421.47	1.0000	0.51849	1.9287	46.487	49.961	137.04	26.958	35.774	503.71	3.7493	14.117	0.028717	vapor
423.14	1.0000	0.51637	1.9366	46.532	50.021	137.18	26.950	35.754	504.72	3.6866	14.182	0.028855	vapor
424.80	1.0000	0.51427	1.9445	46.577	50.080	137.32	26.942	35.736	505.73	3.6256	14.248	0.028993	vapor
426.47	1.0000	0.51219	1.9524	46.623	50.140	137.46	26.935	35.719	506.74	3.5660	14.313	0.029132	vapor
428.14	1.0000	0.51012	1.9603	46.668	50.199	137.60	26.930	35.703	507.74	3.5079	14.379	0.029272	vapor
429.80	1.0000	0.50808	1.9682	46.713	50.259	137.74	26.925	35.688	508.74	3.4512	14.444	0.029413	vapor
431.47	1.0000	0.50605	1.9761	46.758	50.318	137.88	26.921	35.674	509.73	3.3960	14.510	0.029554	vapor
433.13	1.0000	0.50404	1.9840	46.804	50.378	138.01	26.917	35.662	510.73	3.3420	14.576	0.029696	vapor
434.80	1.0000	0.50204	1.9919	46.849	50.437	138.15	26.915	35.650	511.72	3.2894	14.642	0.029839	vapor
436.47	1.0000	0.50006	1.9998	46.894	50.497	138.29	26.913	35.639	512.70	3.2380	14.708	0.029982	vapor
438.13	1.0000	0.49810	2.0076	46.939	50.556	138.42	26.912	35.629	513.69	3.1879	14.774	0.030126	vapor
439.80	1.0000	0.49615	2.0155	46.984	50.615	138.56	26.911	35.621	514.67	3.1389	14.840	0.030270	vapor
441.47	1.0000	0.49422	2.0234	47.029	50.675	138.69	26.911	35.613	515.64	3.0911	14.906	0.030415	vapor
443.13	1.0000	0.49231	2.0312	47.075	50.734	138.83	26.911	35.605	516.62	3.0444	14.972	0.030561	vapor
444.80	1.0000	0.49041	2.0391	47.120	50.793	138.96	26.913	35.599	517.59	2.9987	15.038	0.030707	vapor
446.47	1.0000	0.48853	2.0470	47.165	50.853	139.09	26.914	35.593	518.56	2.9541	15.105	0.030854	vapor
448.13	1.0000	0.48666	2.0548	47.210	50.912	139.23	26.916	35.588	519.52	2.9105	15.171	0.031002	vapor
449.80	1.0000	0.48481	2.0627	47.255	50.971	139.36	26.919	35.584	520.48	2.8679	15.238	0.031150	vapor
451.46	1.0000	0.48297	2.0705	47.300	51.031	139.49	26.922	35.581	521.44	2.8263	15.304	0.031299	vapor
453.13	1.0000	0.48115	2.0784	47.346	51.090	139.62	26.926	35.578	522.40	2.7856	15.371	0.031448	vapor
454.80	1.0000	0.47934	2.0862	47.391	51.149	139.75	26.930	35.576	523.35	2.7458	15.438	0.031598	vapor
456.46	1.0000	0.47754	2.0941	47.436	51.208	139.88	26.935	35.574	524.31	2.7068	15.505	0.031748	vapor
458.13	1.0000	0.47576	2.1019	47.481	51.268	140.01	26.940	35.573	525.25	2.6687	15.572	0.031899	vapor
459.80	1.0000	0.47399	2.1097	47.526	51.327	140.14	26.945	35.573	526.20	2.6314	15.638	0.032051	vapor
461.46	1.0000	0.47224	2.1176	47.571	51.386	140.27	26.951	35.573	527.14	2.5950	15.705	0.032203	vapor
463.13	1.0000	0.47050	2.1254	47.617	51.445	140.40	26.957	35.573	528.09	2.5593	15.772	0.032356	vapor
464.80	1.0000	0.46877	2.1332	47.662	51.505	140.53	26.964	35.575	529.02	2.5243	15.840	0.032509	vapor
466.46	1.0000	0.46706	2.1410	47.707	51.564	140.65	26.971	35.576	529.96	2.4901	15.907	0.032662	vapor
468.13	1.0000	0.46536	2.1489	47.752	51.623	140.78	26.978	35.578	530.89	2.4566	15.974	0.032817	vapor
469.80	1.0000	0.46367	2.1567	47.797	51.683	140.91	26.986	35.581	531.83	2.4238	16.041	0.032971	vapor
471.46	1.0000	0.46200	2.1645	47.843	51.742	141.03	26.994	35.584	532.75	2.3917	16.109	0.033127	vapor
473.13	1.0000	0.46034	2.1723	47.888	51.801	141.16	27.002	35.587	533.68	2.3602	16.176	0.033282	vapor
474.79	1.0000	0.45869	2.1801	47.933	51.861	141.28	27.010	35.591	534.61	2.3293	16.243	0.033439	vapor
476.46	1.0000	0.45705	2.1880	47.978	51.920	141.41	27.019	35.596	535.53	2.2991	16.311	0.033595	vapor
478.13	1.0000	0.45542	2.1958	48.023	51.979	141.53	27.028	35.600	536.45	2.2695	16.379	0.033753	vapor
479.79	1.0000	0.45381	2.2036	48.069	52.038	141.66	27.038	35.605	537.36	2.2405	16.446	0.033910	vapor
481.46	1.0000	0.45221	2.2114	48.114	52.098	141.78	27.047	35.611	538.28	2.2120	16.514	0.034069	vapor
483.13	1.0000	0.45062	2.2192	48.159	52.157	141.90	27.057	35.617	539.19	2.1841	16.581	0.034227	vapor
484.79	1.0000	0.44904	2.2270	48.205	52.217	142.03	27.067	35.623	540.10	2.1567	16.649	0.034387	vapor
486.46	1.0000	0.44747	2.2348	48.250	52.276	142.15	27.078	35.629	541.01	2.1299	16.717	0.034546	vapor
488.13	1.0000	0.44591	2.2426	48.295	52.335	142.27	27.088	35.636	541.92	2.1036	16.785	0.034706	vapor
489.79	1.0000	0.44437	2.2504	48.341	52.395	142.39	27.099	35.643	542.82	2.0778	16.853	0.034867	vapor
491.46	1.0000	0.44283	2.2582	48.386	52.454	142.51	27.110	35.651	543.72	2.0524	16.921	0.035028	vapor
493.12	1.0000	0.44131	2.2660	48.431	52.513	142.63	27.122	35.658	544.62	2.0276	16.989	0.035190	vapor
494.79	1.0000	0.43980	2.2738	48.477	52.573	142.75	27.133	35.666	545.52	2.0032	17.057	0.035352	vapor
496.46	1.0000	0.43830	2.2816	48.522	52.632	142.87	27.145	35.674	546.42	1.9792	17.125	0.035514	vapor
498.12	1.0000	0.43681	2.2893	48.568	52.692	142.99	27.157	35.683	547.31	1.9557	17.193	0.035677	vapor
499.79	1.0000	0.43533	2.2971	48.613	52.751	143.11	27.169	35.692	548.20	1.9326	17.261	0.035840	vapor
501.46	1.0000	0.43386	2.3049	48.658	52.811	143.23	27.181	35.701	549.09	1.9100	17.329	0.036004	vapor
503.12	1.0000	0.43239	2.3127	48.704	52.870	143.35	27.193	35.710	549.98	1.8877	17.397	0.036168	vapor
504.79	1.0000	0.43094	2.3205	48.749	52.930	143.47	27.206	35.720	550.86	1.8659	17.466	0.036333	vapor
506.46	1.0000	0.42950	2.3283	48.795	52.989	143.58	27.219	35.729	551.75	1.8444	17.534	0.036498	vapor
508.12	1.0000	0.42807	2.3360	48.840	53.049	143.70	27.232	35.739	552.63	1.8233	17.602	0.036663	vapor
509.79	1.0000	0.42665	2.3438	48.886	53.108	143.82	27.245	35.750	553.51	1.8026	17.671	0.036829	vapor
511.46	1.0000	0.42524	2.3516	48.932	53.168	143.94	27.258	35.760	554.39	1.7823	17.739	0.036996	vapor
513.12	1.0000	0.42384	2.3594	48.977	53.228	144.05	27.271	35.771	555.26	1.7623	17.808	0.037162	vapor
514.79	1.0000	0.42245	2.3672	49.023	53.287	144.17	27.285	35.781	556.14	1.7426	17.876	0.037329	vapor
516.45	1.0000	0.42107	2.3749	49.068	53.347	144.28	27.298	35.792	557.01	1.7233	17.944	0.037497	vapor
518.12	1.0000	0.41969	2.3827	49.114	53.407	144.40	27.312	35.804	557.88	1.7043	18.013	0.037665	vapor
519.79	1.0000	0.41833	2.3905	49.160	53.466	144.51	27.326	35.815	558.75	1.6856	18.082	0.037833	vapor
521.45	1.0000	0.41697	2.3982	49.205	53.526	144.63	27.340	35.827	559.62	1.6672	18.150	0.038002	vapor
523.12	1.0000	0.41563	2.4060	49.251	53.586	144.74	27.354	35.838	560.48	1.6492	18.219	0.038171	vapor
524.79	1.0000	0.41429	2.4138	49.297	53.645	144.86	27.369	35.850	561.34	1.6314	18.287	0.038341	vapor
526.45	1.0000	0.41296	2.4215	49.343	53.705	144.97	27.383	35.862	562.20	1.6139	18.356	0.038511	vapor
528.12	1.0000	0.41164	2.4293	49.388	53.765	145.08	27.398	35.875	563.06	1.5968	18.425	0.038681	vapor
529.79	1.0000	0.41033	2.4371	49.434	53.825	145.20	27.412	35.887	563.92	1.5799	18.494	0.038852	vapor
531.45	1.0000	0.40902	2.4448	49.480	53.884	145.31	27.427	35.900	564.78	1.5632	18.562	0.039023	vapor
533.12	1.0000	0.40773	2.4526	49.526	53.944	145.42	27.442	35.912	565.63	1.5469	18.631	0.039195	vapor
534.78	1.0000	0.40644	2.4604	49.572	54.004	145.53	27.457	35.925	566.48	1.5307	18.700	0.039367	vapor
536.45	1.0000	0.40516	2.4681	49.618	54.064	145.65	27.472	35.938	567.34	1.5149	18.769	0.039539	vapor
538.12	1.0000	0.40389	2.4759	49.664	54.124	145.76	27.487	35.951	568.18	1.4993	18.838	0.039711	vapor
539.78	1.0000	0.40263	2.4837	49.709	54.184	145.87	27.502	35.965	569.03	1.4839	18.907	0.039884	vapor
541.45	1.0000	0.40138	2.4914	49.755	54.244	145.98	27.518	35.978	569.88	1.4688	18.976	0.040058	vapor
543.12	1.0000	0.40013	2.4992	49.801	54.304	146.09	27.533	35.991	570.72	1.4539	19.045	0.040232	vapor
544.78	1.0000	0.39890	2.5069	49.847	54.364	146.20	27.549	36.005	571.56	1.4393	19.113	0.040406	vapor
546.45	1.0000	0.39766	2.5147	49.893	54.424	146.31	27.564	36.019	572.40	1.4249	19.182	0.040580	vapor
548.12	1.0000	0.39644	2.5224	49.940	54.484	146.42	27.580	36.033	573.24	1.4106	19.251	0.040755	vapor
549.78	1.0000	0.39523	2.5302	49.986	54.544	146.53	27.596	36.047	574.08	1.3966	19.320	0.040930	vapor
551.45	1.0000	0.39402	2.5379	50.032	54.604	146.64	27.612	36.061	574.92	1.3829	19.390	0.041106	vapor
553.12	1.0000	0.39282	2.5457	50.078	54.664	146.75	27.628	36.075	575.75	1.3693	19.459	0.041282	vapor
554.78	1.0000	0.39163	2.5534	50.124	54.724	146.86	27.644	36.089	576.58	1.3559	19.528	0.041458	vapor
556.45	1.0000	0.39044	2.5612	50.170	54.784	146.96	27.660	36.104	577.42	1.3427	19.597	0.041634	vapor
558.11	1.0000	0.38926	2.5689	50.216	54.844	147.07	27.676	36.119	578.24	1.3297	19.666	0.041811	vapor
559.78	1.0000	0.38809	2.5767	50.263	54.905	147.18	27.692	36.133	579.07	1.3169	19.735	0.041989	vapor
561.45	1.0000	0.38693	2.5844	50.309	54.965	147.29	27.708	36.148	579.90	1.3043	19.804	0.042166	vapor
563.11	1.0000	0.38577	2.5922	50.355	55.025	147.39	27.725	36.163	580.72	1.2919	19.873	0.042344	vapor
564.78	1.0000	0.38462	2.5999	50.402	55.085	147.50	27.741	36.178	581.55	1.2796	19.942	0.042523	vapor
566.45	1.0000	0.38348	2.6077	50.448	55.146	147.61	27.758	36.193	582.37	1.2675	20.012	0.042701	vapor
568.11	1.0000	0.38235	2.6154	50.494	55.206	147.71	27.774	36.208	583.19	1.2556	20.081	0.042880	vapor
569.78	1.0000	0.38122	2.6232	50.541	55.266	147.82	27.791	36.223	584.01	1.2439	20.150	0.043060	vapor
571.45	1.0000	0.38009	2.6309	50.587	55.327	147.93	27.808	36.238	584.83	1.2323	20.219	0.043239	vapor
573.11	1.0000	0.37898	2.6387	50.634	55.387	148.03	27.825	36.254	585.64	1.2209	20.289	0.043419	vapor
574.78	1.0000	0.37787	2.6464	50.680	55.448	148.14	27.841	36.269	586.46	1.2097	20.358	0.043599	vapor
576.44	1.0000	0.37677	2.6542	50.727	55.508	148.24	27.858	36.285	587.27	1.1986	20.427	0.043780	vapor
578.11	1.0000	0.37567	2.6619	50.773	55.569	148.35	27.875	36.301	588.08	1.1876	20.496	0.043961	vapor
579.78	1.0000	0.37458	2.6696	50.820	55.629	148.45	27.892	36.316	588.89	1.1768	20.566	0.044142	vapor
581.44	1.0000	0.37350	2.6774	50.866	55.690	148.56	27.909	36.332	589.70	1.1662	20.635	0.044324	vapor
583.11	1.0000	0.37242	2.6851	50.913	55.750	148.66	27.926	36.348	590.51	1.1557	20.704	0.044506	vapor
584.78	1.0000	0.37135	2.6929	50.959	55.811	148.76	27.944	36.364	591.31	1.1453	20.773	0.044688	vapor
586.44	1.0000	0.37029	2.7006	51.006	55.871	148.87	27.961	36.380	592.12	1.1351	20.843	0.044870	vapor
588.11	1.0000	0.36923	2.7083	51.053	55.932	148.97	27.978	36.396	592.92	1.1250	20.912	0.045053	vapor
589.78	1.0000	0.36818	2.7161	51.100	55.993	149.07	27.996	36.412	593.72	1.1150	20.981	0.045236	vapor
591.44	1.0000	0.36713	2.7238	51.146	56.053	149.18	28.013	36.428	594.52	1.1052	21.051	0.045420	vapor
593.11	1.0000	0.36609	2.7316	51.193	56.114	149.28	28.030	36.445	595.32	1.0955	21.120	0.045603	vapor
594.78	1.0000	0.36506	2.7393	51.240	56.175	149.38	28.048	36.461	596.12	1.0859	21.190	0.045788	vapor
596.44	1.0000	0.36403	2.7470	51.287	56.236	149.48	28.065	36.477	596.91	1.0765	21.259	0.045972	vapor
598.11	1.0000	0.36301	2.7548	51.334	56.296	149.58	28.083	36.494	597.71	1.0672	21.328	0.046157	vapor
599.77	1.0000	0.36199	2.7625	51.380	56.357	149.69	28.101	36.511	598.50	1.0580	21.398	0.046341	vapor
601.44	1.0000	0.36098	2.7702	51.427	56.418	149.79	28.118	36.527	599.29	1.0489	21.467	0.046527	vapor
603.11	1.0000	0.35998	2.7780	51.474	56.479	149.89	28.136	36.544	600.08	1.0399	21.536	0.046712	vapor
604.77	1.0000	0.35898	2.7857	51.521	56.540	149.99	28.154	36.561	600.87	1.0310	21.606	0.046898	vapor
606.44	1.0000	0.35798	2.7934	51.568	56.601	150.09	28.172	36.577	601.66	1.0223	21.675	0.047084	vapor
608.11	1.0000	0.35699	2.8012	51.615	56.662	150.19	28.189	36.594	602.44	1.0137	21.744	0.047271	vapor
609.77	1.0000	0.35601	2.8089	51.662	56.723	150.29	28.207	36.611	603.23	1.0051	21.814	0.047457	vapor
611.44	1.0000	0.35503	2.8166	51.709	56.784	150.39	28.225	36.628	604.01	0.99671	21.883	0.047644	vapor
613.11	1.0000	0.35406	2.8244	51.757	56.845	150.49	28.243	36.645	604.80	0.98839	21.953	0.047832	vapor
614.77	1.0000	0.35310	2.8321	51.804	56.906	150.59	28.261	36.662	605.58	0.98017	22.022	0.048019	vapor
616.44	1.0000	0.35214	2.8398	51.851	56.967	150.69	28.279	36.679	606.36	0.97206	22.091	0.048207	vapor
618.10	1.0000	0.35118	2.8475	51.898	57.028	150.79	28.297	36.696	607.13	0.96404	22.161	0.048395	vapor
619.77	1.0000	0.35023	2.8553	51.945	57.089	150.89	28.315	36.714	607.91	0.95613	22.230	0.048584	vapor
621.44	1.0000	0.34928	2.8630	51.993	57.150	150.99	28.334	36.731	608.69	0.94830	22.300	0.048772	vapor
623.10	1.0000	0.34834	2.8707	52.040	57.212	151.08	28.352	36.748	609.46	0.94057	22.369	0.048961	vapor
624.77	1.0000	0.34741	2.8785	52.087	57.273	151.18	28.370	36.766	610.24	0.93294	22.438	0.049151	vapor
626.44	1.0000	0.34648	2.8862	52.135	57.334	151.28	28.388	36.783	611.01	0.92539	22.508	0.049340	vapor
628.10	1.0000	0.34555	2.8939	52.182	57.396	151.38	28.407	36.801	611.78	0.91794	22.577	0.049530	vapor
629.77	1.0000	0.34463	2.9016	52.229	57.457	151.48	28.425	36.818	612.55	0.91057	22.647	0.049720	vapor
631.44	1.0000	0.34372	2.9094	52.277	57.518	151.57	28.443	36.836	613.32	0.90329	22.716	0.049910	vapor
633.10	1.0000	0.34281	2.9171	52.324	57.580	151.67	28.462	36.853	614.08	0.89609	22.785	0.050101	vapor
634.77	1.0000	0.34190	2.9248	52.372	57.641	151.77	28.480	36.871	614.85	0.88898	22.855	0.050292	vapor
636.44	1.0000	0.34100	2.9326	52.419	57.703	151.86	28.499	36.889	615.61	0.88195	22.924	0.050483	vapor
638.10	1.0000	0.34010	2.9403	52.467	57.764	151.96	28.517	36.906	616.38	0.87500	22.993	0.050675	vapor
