Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
849.73	1.0000	0.25512	3.9197	58.770	65.831	162.86	31.051	39.393	704.98	0.38023	31.679	0.076816	vapor
851.40	1.0000	0.25462	3.9274	58.822	65.897	162.94	31.072	39.413	705.62	0.37811	31.746	0.077034	vapor
853.07	1.0000	0.25413	3.9351	58.873	65.962	163.02	31.093	39.434	706.26	0.37601	31.813	0.077253	vapor
854.73	1.0000	0.25363	3.9428	58.925	66.028	163.09	31.114	39.455	706.90	0.37392	31.880	0.077471	vapor
856.40	1.0000	0.25313	3.9505	58.977	66.094	163.17	31.135	39.476	707.54	0.37185	31.947	0.077690	vapor
858.07	1.0000	0.25264	3.9582	59.029	66.160	163.25	31.156	39.497	708.18	0.36980	32.014	0.077908	vapor
859.73	1.0000	0.25215	3.9659	59.081	66.226	163.32	31.177	39.517	708.82	0.36776	32.080	0.078127	vapor
861.40	1.0000	0.25166	3.9736	59.133	66.291	163.40	31.198	39.538	709.46	0.36574	32.147	0.078346	vapor
863.07	1.0000	0.25118	3.9813	59.185	66.357	163.48	31.219	39.559	710.10	0.36373	32.214	0.078566	vapor
864.73	1.0000	0.25069	3.9890	59.237	66.423	163.55	31.240	39.580	710.73	0.36174	32.281	0.078785	vapor
866.40	1.0000	0.25021	3.9967	59.289	66.489	163.63	31.261	39.601	711.37	0.35976	32.347	0.079005	vapor
868.06	1.0000	0.24973	4.0044	59.341	66.555	163.70	31.282	39.622	712.00	0.35779	32.414	0.079224	vapor
869.73	1.0000	0.24925	4.0121	59.393	66.621	163.78	31.304	39.643	712.64	0.35585	32.480	0.079444	vapor
871.40	1.0000	0.24877	4.0198	59.446	66.687	163.86	31.325	39.663	713.27	0.35391	32.547	0.079664	vapor
873.06	1.0000	0.24829	4.0275	59.498	66.754	163.93	31.346	39.684	713.90	0.35199	32.614	0.079885	vapor
874.73	1.0000	0.24782	4.0352	59.550	66.820	164.01	31.367	39.705	714.53	0.35008	32.680	0.080105	vapor
876.40	1.0000	0.24735	4.0429	59.603	66.886	164.08	31.388	39.726	715.16	0.34819	32.747	0.080325	vapor
878.06	1.0000	0.24688	4.0506	59.655	66.952	164.16	31.409	39.747	715.79	0.34631	32.813	0.080546	vapor
879.73	1.0000	0.24641	4.0583	59.707	67.018	164.23	31.430	39.768	716.42	0.34445	32.879	0.080767	vapor
881.40	1.0000	0.24594	4.0660	59.760	67.085	164.31	31.451	39.789	717.05	0.34259	32.946	0.080988	vapor
883.06	1.0000	0.24548	4.0737	59.812	67.151	164.38	31.472	39.810	717.68	0.34076	33.012	0.081209	vapor
884.73	1.0000	0.24501	4.0814	59.865	67.217	164.46	31.493	39.831	718.31	0.33893	33.079	0.081430	vapor
886.40	1.0000	0.24455	4.0891	59.917	67.284	164.53	31.514	39.852	718.93	0.33712	33.145	0.081652	vapor
888.06	1.0000	0.24409	4.0968	59.970	67.350	164.61	31.536	39.873	719.56	0.33532	33.211	0.081874	vapor
889.73	1.0000	0.24363	4.1045	60.022	67.417	164.68	31.557	39.894	720.19	0.33353	33.277	0.082095	vapor
891.39	1.0000	0.24318	4.1122	60.075	67.483	164.76	31.578	39.915	720.81	0.33176	33.344	0.082317	vapor
893.06	1.0000	0.24272	4.1199	60.128	67.550	164.83	31.599	39.936	721.44	0.33000	33.410	0.082539	vapor
894.73	1.0000	0.24227	4.1276	60.180	67.616	164.91	31.620	39.957	722.06	0.32825	33.476	0.082762	vapor
896.39	1.0000	0.24182	4.1353	60.233	67.683	164.98	31.641	39.978	722.68	0.32652	33.542	0.082984	vapor
898.06	1.0000	0.24137	4.1430	60.286	67.749	165.06	31.663	39.999	723.30	0.32479	33.608	0.083206	vapor
899.73	1.0000	0.24092	4.1507	60.338	67.816	165.13	31.684	40.020	723.93	0.32308	33.674	0.083429	vapor
901.39	1.0000	0.24048	4.1584	60.391	67.883	165.20	31.705	40.041	724.55	0.32138	33.740	0.083652	vapor
903.06	1.0000	0.24003	4.1661	60.444	67.950	165.28	31.726	40.062	725.17	0.31969	33.806	0.083875	vapor
904.73	1.0000	0.23959	4.1738	60.497	68.016	165.35	31.747	40.083	725.79	0.31802	33.872	0.084098	vapor
906.39	1.0000	0.23915	4.1815	60.550	68.083	165.43	31.768	40.104	726.40	0.31636	33.938	0.084321	vapor
