Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
143.75	17.500	923.51	0.0010828	604.23	606.12	1.7765	3.5505	4.2872	1482.4	-0.014881	191.36	0.68381	liquid
144.79	17.500	922.55	0.0010839	608.69	610.59	1.7872	3.5457	4.2897	1480.3	-0.014798	189.88	0.68368	liquid
145.83	17.500	921.60	0.0010851	613.16	615.06	1.7979	3.5409	4.2923	1478.1	-0.014715	188.42	0.68355	liquid
146.88	17.500	920.64	0.0010862	617.63	619.53	1.8085	3.5362	4.2949	1476.0	-0.014630	186.98	0.68340	liquid
147.92	17.500	919.67	0.0010873	622.10	624.01	1.8192	3.5315	4.2975	1473.8	-0.014545	185.56	0.68324	liquid
148.96	17.500	918.71	0.0010885	626.58	628.49	1.8298	3.5267	4.3002	1471.5	-0.014459	184.16	0.68308	liquid
150.00	17.500	917.73	0.0010896	631.06	632.97	1.8404	3.5220	4.3030	1469.3	-0.014372	182.78	0.68290	liquid
151.04	17.500	916.75	0.0010908	635.54	637.45	1.8510	3.5173	4.3057	1467.0	-0.014285	181.43	0.68272	liquid
152.08	17.500	915.77	0.0010920	640.03	641.94	1.8615	3.5127	4.3085	1464.7	-0.014197	180.09	0.68253	liquid
153.13	17.500	914.78	0.0010932	644.51	646.43	1.8721	3.5080	4.3114	1462.4	-0.014107	178.77	0.68232	liquid
154.17	17.500	913.78	0.0010944	649.00	650.92	1.8826	3.5034	4.3143	1460.1	-0.014017	177.47	0.68211	liquid
155.21	17.500	912.78	0.0010955	653.50	655.41	1.8931	3.4988	4.3172	1457.7	-0.013927	176.19	0.68189	liquid
156.25	17.500	911.78	0.0010968	657.99	659.91	1.9036	3.4942	4.3202	1455.3	-0.013835	174.93	0.68166	liquid
157.29	17.500	910.77	0.0010980	662.49	664.41	1.9141	3.4896	4.3232	1452.9	-0.013742	173.68	0.68142	liquid
158.33	17.500	909.76	0.0010992	667.00	668.92	1.9245	3.4851	4.3263	1450.5	-0.013649	172.45	0.68117	liquid
159.38	17.500	908.74	0.0011004	671.50	673.43	1.9350	3.4805	4.3294	1448.0	-0.013554	171.24	0.68092	liquid
160.42	17.500	907.71	0.0011017	676.01	677.94	1.9454	3.4760	4.3326	1445.5	-0.013459	170.05	0.68065	liquid
161.46	17.500	906.69	0.0011029	680.52	682.45	1.9558	3.4715	4.3358	1443.0	-0.013363	168.87	0.68037	liquid
162.50	17.500	905.65	0.0011042	685.04	686.97	1.9662	3.4670	4.3391	1440.4	-0.013266	167.71	0.68009	liquid
163.54	17.500	904.61	0.0011054	689.56	691.49	1.9765	3.4625	4.3424	1437.9	-0.013167	166.56	0.67979	liquid
164.58	17.500	903.57	0.0011067	694.08	696.02	1.9869	3.4581	4.3457	1435.3	-0.013068	165.43	0.67949	liquid
165.63	17.500	902.52	0.0011080	698.61	700.55	1.9972	3.4536	4.3491	1432.7	-0.012968	164.32	0.67918	liquid
166.67	17.500	901.46	0.0011093	703.14	705.08	2.0075	3.4492	4.3526	1430.0	-0.012867	163.22	0.67886	liquid
167.71	17.500	900.40	0.0011106	707.67	709.62	2.0178	3.4448	4.3561	1427.4	-0.012765	162.13	0.67852	liquid
168.75	17.500	899.34	0.0011119	712.21	714.15	2.0281	3.4405	4.3597	1424.7	-0.012661	161.06	0.67818	liquid
169.79	17.500	898.27	0.0011133	716.75	718.70	2.0384	3.4361	4.3633	1422.0	-0.012557	160.00	0.67783	liquid
170.83	17.500	897.19	0.0011146	721.29	723.24	2.0486	3.4318	4.3669	1419.2	-0.012451	158.96	0.67747	liquid
